Title	Price	Links	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	Mặt tiền	index	Số tầng	ExtractedTitle	Address1	Address2
BÁN NHÀ HẺM XE HƠI ĐẬU CỬA ĐƯỜNG THỐNG NHẤT ,P16,GÒ VẤP	5.2	https://batdongsan.vn/ban-nha-hem-xe-hoi-dau-cua-duong-thong-nhat-p16go-vap-r284245	80.0		3.0	thong nhat.go vap	"????????????????????????????????????chốt ngay - phường 16 - gò vấp -80m2(5x16) - đương trước nhà 5m
- nhà mới ở ngay chỉ 5.2 tỷ.???????????? ????????????

đường số 1 ,thống nhất cũ ) 80 m2 , 2 tầng , ngang 5 dài 16 phường 16 gò vấp

. mô tả: + kết cấu 1 trệt 1 lửng btct kiên cố. + 2pn lớn, 2wc, 1 phòng thờ, có 1pn dưới trệt tiện cho người lớn tuổi. + dt 80m2(5x16) vuông, không lộ giới không quy hoạch. + hẻm 1 trục trước nhà 5m gần mặt tiền đường nhựa"	False	False	False	True	0	2.0	đường Thống Nhất, Phường 16, Quận Gò Vấp	thong nhat.go vap	đường Thống Nhất, Phường 16, Quận Gò Vấp
HXH 1 sẹc Đường số 3 Phường 9 Quận Gò Vấp 42m2, 3 tầng chỉ 4.5 tỷ	4.5	https://batdongsan.vn/hxh-1-sec-duong-so-3-phuong-9-quan-go-vap-42m2-3-tang-chi-45-ty-r284244	42.0	2.0	2.0	Đường Số 3	"ms 29923
* vị trí: gần ub phường 9. đường số 3 thông nguyễn văn khối, pham văn chiêu, cắt ngang đường số 9 thông ra lê văn thọ.
* diện tích 42m2, 3 tầng, gồm 1 trệt 2 lầu với 2 phòng ngủ, 2 wc, sân thượng. nhà thoáng mát. đường trước nhà 4m.
* hẻm an ninh, yên tĩnh, thẳng 1 trục.
* sổ hồng hoàn công đủ, công nhận đủ."	False	False	False	False	1	3.0	đường số 3, Phường 9, Quận Gò Vấp	Đường Số 3	đường số 3, Phường 9, Quận Gò Vấp
Bán nhà Xuân Đỉnh. 4.3 Tỷ. ô tô 4 chỗ đỗ cổng. Ngõ thông.	4.3	https://batdongsan.vn/ban-nha-xuan-dinh-43-ty-o-to-4-cho-do-cong-ngo-thong-r284240	39.0			Xuân Đỉnh. Bắc Từ Liêm. Hà Nội	"chính chủ bán nhà ngõ 277 xuân đỉnh
vài bước ra phố xuân đỉnh, thông ngoại giao đoàn ????
????39 mx 5 tầng . có ô chờ thang máy + giếng trời rất thoáng
tầng 1 : phòng khách+ bếp+ sân để xe
tầng 2: phòng ngủ master hoặc phòng làm việc.
tầng 3: phòng ngủ + ban công+ wc
tầng 4: phòng ngủ+ ban công+ wc
tầng 5 : phòng giặt+ phòng thờ+ sân phơi
giá: 4,3 tỷ????sổ đỏ nở hậu.
nhà tự xây,rất chắc chắn,ngõ nông ô tô 4 chỗ đỗ cửa
liên hệ: 0357 887 450"	True	False	False	False	2	5.0	ngõ 277 Xuân Đỉnh	Xuân Đỉnh. Bắc Từ Liêm. Hà Nội	ngõ 277 Xuân Đỉnh
3.2 Tỷ, nhà 4 tầng Thụy Khuê. ô tô đỗ cửa. Kinh doanh	3.2	https://batdongsan.vn/32-ty-nha-4-tang-thuy-khue-o-to-do-cua-kinh-doanh-r284239	30.0			Thụy Khuê, Ba Đình, Hà Nội	"3.2 tỷ ???? có ngay 30m nhà 3 tầng phố thụy khuê. tây hồ. lô góc. ngõ thông. kinh doanh.

- 15m ra mp thụy khuê
- lô góc ngõ thông kinh doanh
- sổ vuông đẹp như tờ a4

lh: 03457887450"	False	False	False	False	3	2.4	phố Thụy Khuê, Tây Hồ	Thụy Khuê, Ba Đình, Hà Nội	phố Thụy Khuê, Tây Hồ
BÁN NHÀ HXH LẠC LONG QUÂN, TÂN BÌNH - 55M - 4 TẦNG 4PN - GẦN MẶT TIỀN - CHỈ NHỈNH 4 TỶ	4.8	https://batdongsan.vn/ban-nha-hxh-lac-long-quan-tan-binh-55m-4-tang-4pn-gan-mat-tien-chi-nhinh-4-ty-r284237	55.0	4.0	3.0	Thành phố Hồ Chí Minh	"mô tả:
???? kết cấu: 1 trệt 2 lầu sân thượng, 4pn, phòng thờ, 3wc, ban công, giếng trời.
???? diện tích: 55m2 ( 4.2x13 ) sổ vuông hoàn công đủ.
???? hẻm xe hơi trước nhà, sạch sẽ, rộng rãi.
???? khu phân lô cực kỳ an ninh, tiện kinh doanh online, ngay ngã tư hồng lạc và lạc long quân, gần chợ tân bình, bệnh viện thống nhất, trường học các cấp, qua q10 5p.
???? sổ không lộ giới, hoàn công đủ, pháp lý chuẩn, công chứng trong ngày.
=================================
???? hãy gọi em xem nhà ngay: 0354 299 320"	True	False	True	False	4	4.0	đường Lạc Long Quân, Phường Tân Bình	Thành phố Hồ Chí Minh	đường Lạc Long Quân, Phường Tân Bình
HIẾM - ĐÚNG 2 BƯỚC RA NGAY MẶT PHỐ VĂN CAO - LIÊN HỆ NGAY KẺO BỎ LỠ BỞI GIÁ QUÁ TỐT	2.0	https://batdongsan.vn/hiem-dung-2-buoc-ra-ngay-mat-pho-van-cao-lien-he-ngay-keo-bo-lo-boi-gia-qua-tot-r284236				PHỐ VĂN CAO	"???? diện tích tận 50m2 - vị trí cực đẹp, cực hiếm, không có căn thứ 2 với giá như này
???? nhà đẹp trung tâm phố, xung quanh đầy tiện ích, vài phút ra ngay chợ, bệnh viện 354, lotte, hồ tây, trường học, giải trí ăn uống,..
???? giao thông thuận tiện, ô tô đỗ ngay gần, an sinh cực đỉnh, hàng xóm văn minh, thân thiện,..

giá chào: nhỉnh 8t (chủ rất thiện chí bán - có tl)
sổ đỏ vuông như tờ a4 , sẵn sàng giao dịch

☎️ lh xem nhà: 09137 39716 (em tú linh)"	True	False	True	False	5	0.0	phố Văn Cao	PHỐ VĂN CAO	phố Văn Cao
ĐÀO TẤN - NGÕ THÔNG/KINH DOANH SẦM UẤT - DIỆN TÍCH RỘNG - LIÊN HỆ NGAY KẺO BỎ LỠ BỞI GIÁ QUÁ TỐT	7.0	https://batdongsan.vn/dao-tan-ngo-thongkinh-doanh-sam-uat-dien-tich-rong-lien-he-ngay-keo-bo-lo-boi-gia-qua-tot-r284234	53.0			ĐÀO TẤN	"diện tích: 53m2 - 4 tầng
mặt tiền: 4.2m

???? vị trí cực đẹp, cực hiếm, không có căn thứ 2 với giá như này
???? nhà cực đẹp và tốt cho gia đình; trung tâm phố, tiện ích vô vàn k thiếu, vài phút ra ngay chợ, lotte, công viên thủ lệ không khí trong lành, bệnh viện 354, lotte, trường học, giải trí ăn uống,..
???? giao thông thuận tiện gần ngã 3, an sinh cực đỉnh, hàng xóm thân thiện,..

giá chào: 7t (chủ rất thiện chí bán - có tl)
sổ đỏ chính chủ, sẵn sàng sang tên ngay.

☎️ lh xem nhà: 09137 39716 (em tú linh)"	False	False	True	True	6	4.0	Đào Tấn, Ngõ Thông	ĐÀO TẤN	Đào Tấn, Ngõ Thông
3 BƯỚC RA PHỐ ĐỘI CẤN - Ô TÔ TRÁNH - NGÕ RỘNG NÔNG THOÁNG	9.0	https://batdongsan.vn/3-buoc-ra-pho-doi-can-o-to-tranh-ngo-rong-nong-thoang-r284232	67.0			Phường Đội Cấn, Quận Ba Đình, Hà Nội	"diện tích: 67m2
mặt tiền: 5.4m

????nhà nằm trên con phố giá trị nhất nhì quận ba đình, cực hiếm, trong tầm giá không có căn nào vị trí đẹp hơn - khách mua chỉ việc xách vali về ở ngay không phải sửa chữa gì.
???? nhà cực đẹp ô tô đỗ trước cửa thoải mái; trung tâm phố, tiện ích vô vàn k thiếu, vài phút ra ngay chợ, lăng bác, lotte, bệnh viện 354, trường học, giải trí ăn uống,..
???? giao thông thuận tiện, an sinh cực đỉnh, hàng xóm thân thiện,..


giá chào: 9t (chủ rất thiện chí bán - có tl)
sổ đỏ chính chủ, sẵn sàng sang tên ngay.

☎️ lh xem nhà: 09137 39716 (em tú linh)"	True	False	True	True	8	0.0	Phố Độ'i Căn, Quận Ba Đình	Phường Đội Cấn, Quận Ba Đình, Hà Nội	Phố Độ'i Căn, Quận Ba Đình
TRUNG TÂM THỦ ĐÔ BA ĐÌNH CỰC HIẾM - NGÕ RỘNG NÔNG THOÁNG - LIÊN HỆ NGAY KẺO BỎ LỠ BỞI GIÁ QUÁ TỐT	8.5	https://batdongsan.vn/trung-tam-thu-do-ba-dinh-cuc-hiem-ngo-rong-nong-thoang-lien-he-ngay-keo-bo-lo-boi-gia-qua-tot-r284231	40.0			Phường Đội Cấn, Quận Ba Đình, Hà Nội	"diện tích: 40m2 - 5 tầng
mặt tiền: 3.4m

????nhà nằm trên con phố giá trị nhất nhì quận ba đình, cực hiếm, trong tầm giá không có căn nào vị trí đẹp hơn - khách mua chỉ việc xách vali về ở ngay không phải sửa chữa gì.
???? nhà cực đẹp ô tô đỗ thoải mái cho gia đình; trung tâm phố, tiện ích vô vàn k thiếu, vài phút ra ngay chợ, lăng bác, lotte, bệnh viện 354, lotte, trường học, giải trí ăn uống,..
???? giao thông thuận tiện, an sinh cực đỉnh, hàng xóm thân thiện,..

giá chào: 8.5t (chủ rất thiện chí bán - có tl)
sổ đỏ chính chủ, sẵn sàng sang tên ngay.

☎️ lh xem nhà: 09137 39716 (em tú linh)"	True	False	True	True	9	5.0	Ngõ rộng nông thoáng, Trung tâm Thủ Đô Ba Đình	Phường Đội Cấn, Quận Ba Đình, Hà Nội	Ngõ rộng nông thoáng, Trung tâm Thủ Đô Ba Đình
[ĐỘI CẤN] LÀM ĂN PHÁT ĐẠT CẦN SANG TÊN NHÀ CỰC HIẾM- NGÕ RỘNG NÔNG THOÁNG - SẴN SÀNG THƯƠNG LƯỢNG SAN SẺ LỘC	9.8	https://batdongsan.vn/doi-can-lam-an-phat-dat-can-sang-ten-nha-cuc-hiem-ngo-rong-nong-thoang-san-sang-thuong-luong-san-se-loc-r284230	72.0			Phường Đội Cấn, Quận Ba Đình, Hà Nội	"mặt tiền: 6.6m
giá chào: 9.8t (rất thiện chí bán - có tl)

????nhà nằm trên con phố giá trị nhất nhì quận ba đình, cực hiếm, trong tầm giá không có căn nào vị trí đẹp & lộc lá hơn.
???? nhà cực đẹp; xe máy tránh thoải mái, trung tâm phố, tiện ích vô vàn k thiếu, vài phút ra ngay chợ, lotte, bệnh viện 354, trường học, giải trí ăn uống,..
???? giao thông thuận tiện, an sinh cực đỉnh, hàng xóm thân thiện,..
sổ đỏ chính chủ, sẵn sàng sang tên ngay - liên hệ ngay kẻo bỏ lỡ bởi giá quá tốt
☎️ lh xem nhà: 09137 39716 (em tú linh)"	False	False	True	True	10	0.0	NGÕ RỘNG NÔNG THOÁNG	Phường Đội Cấn, Quận Ba Đình, Hà Nội	NGÕ RỘNG NÔNG THOÁNG
